suburb,postcode,lat,lon,total_patient,population,age,AM,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
CHISWICK,2046,-33.851437,151.135954,14,2927,adult,29,1.0,Playground,Café,Soccer Field,Scenic Lookout,Harbor / Marina,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
CHULLORA,2190,-33.892441,151.05589799999998,3,23212,young,9,0.0,Discount Store,Pizza Place,Business Service,Pharmacy,Coffee Shop,Shopping Mall,Fast Food Restaurant,Supermarket,Yoga Studio,Event Service
CHURCH POINT,2105,-33.644873,151.284352,0,983,senior+,69,3.0,Pier,Boat or Ferry,Café,Yoga Studio,Film Studio,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
CLAREMONT MEADOWS,2747,-33.770438,150.752791,50,4782,adult,29,0.0,Fast Food Restaurant,Grocery Store,Park,Shopping Mall,Yoga Studio,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
CLARENDON,2756,-33.614736,150.78198,12,110,mid-age,49,,,,,,,,,,,
CLAREVILLE,2107,-33.634904999999996,151.313321,6,753,senior+,69,1.0,Surf Spot,Australian Restaurant,Beach,Garden Center,Yoga Studio,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
CLAYMORE,2559,-34.045524,150.810024,0,2651,young,9,0.0,Shopping Mall,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
CLEMTON PARK,2206,-33.925357,151.103282,6,1655,senior+,69,3.0,Café,Park,Shopping Plaza,Supermarket,Yoga Studio,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
CLONTARF,2093,-33.808238,151.25509499999998,12,1742,mid-age,49,3.0,Café,Surf Spot,Boat Rental,Beach,Yoga Studio,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
CLOVELLY,2031,-33.912639,151.262021,28,4752,adult,29,3.0,Café,Trail,Hotel,Massage Studio,Bakery,Thai Restaurant,Beach,Supermarket,Coffee Shop,Bus Stop
CLYDE,2142,-33.832322,151.01941399999998,7,3,adult,29,0.0,Platform,Convenience Store,Gym,Train Station,Racetrack,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
COASTERS RETREAT,2108,-33.6048,151.29883,1,43,senior+,69,1.0,Boat or Ferry,Trail,Bay,Beach,Yoga Studio,Film Studio,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
COBBITTY,2570,-34.015874,150.69102900000001,16,2062,mid-age,49,1.0,Campground,Restaurant,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
COLEBEE,2761,-33.730647,150.86604599999998,15,1928,adult,29,1.0,Bike Trail,Yoga Studio,Film Studio,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
COLLAROY,2097,-33.740969,151.303133,13,7860,adult,29,1.0,Beach,Furniture / Home Store,Coffee Shop,Trail,Sports Club,Golf Course,Pie Shop,Fishing Store,Farmers Market,Electronics Store
COLYTON,2760,-33.776657,150.79343300000002,11,8445,adult,29,0.0,Convenience Store,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
COMO,2226,-34.004186,151.068288,2,3984,mid-age,49,1.0,Dog Run,Dance Studio,Train Station,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
CONCORD,2137,-33.857857,151.103502,10,14531,mid-age,49,3.0,Café,Thai Restaurant,Italian Restaurant,Fast Food Restaurant,Supermarket,Paper / Office Supplies Store,Dessert Shop,Sports Bar,Seafood Restaurant,Ice Cream Shop
CONCORD WEST,2138,-33.848040999999995,151.087326,4,5910,mid-age,49,3.0,Café,Platform,Fried Chicken Joint,Paintball Field,Train Station,Chinese Restaurant,Pub,Fast Food Restaurant,Film Studio,Falafel Restaurant
CONDELL PARK,2200,-33.922034000000004,151.011619,13,11564,adult,29,0.0,Grocery Store,Pizza Place,Seafood Restaurant,Liquor Store,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
CONNELLS POINT,2221,-33.991871,151.089495,2,2816,mid-age,49,2.0,Boat or Ferry,Bus Stop,Park,Yoga Studio,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
COOGEE,2034,-33.920491,151.254401,9,15219,adult,29,3.0,Café,Hotel,Bar,Park,Burger Joint,French Restaurant,Italian Restaurant,Fish & Chips Shop,Gym / Fitness Center,Beach
CORNWALLIS,2756,-33.592375,150.81221599999998,12,51,mid-age,49,,,,,,,,,,,
COTTAGE POINT,2084,-33.619578000000004,151.203831,3,105,senior+,69,3.0,Café,Neighborhood,Yoga Studio,Costume Shop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
COWAN,2081,-33.589490999999995,151.17101499999998,2,647,mid-age,49,1.0,Trail,Train Station,Scenic Lookout,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
CRANEBROOK,2749,-33.71431,150.70998600000001,10,15758,adult,29,1.0,Market,Yoga Studio,Food Truck,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
CREMORNE,2090,-33.828131,151.230233,17,11229,adult,29,0.0,Café,Pizza Place,Japanese Restaurant,Fast Food Restaurant,Indian Restaurant,Thai Restaurant,Korean Restaurant,Sushi Restaurant,Grocery Store,Liquor Store
CREMORNE POINT,2090,-33.84447,151.228231,17,2409,mid-age,49,1.0,Pier,Scenic Lookout,Convenience Store,Hotel,Pool,Coffee Shop,Nature Preserve,Park,Harbor / Marina,Farmers Market
CROMER,2099,-33.740353000000006,151.278523,20,7584,mid-age,49,0.0,Music Venue,Convenience Store,Lighting Store,Coffee Shop,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
CRONULLA,2230,-34.051972,151.153662,25,18083,adult,29,3.0,Café,Bar,Ice Cream Shop,Thai Restaurant,Tapas Restaurant,Fast Food Restaurant,Beach,Grocery Store,Seafood Restaurant,Mexican Restaurant
CROWS NEST,2065,-33.82609,151.19919199999998,22,4802,adult,29,3.0,Café,Japanese Restaurant,Vietnamese Restaurant,Coffee Shop,Thai Restaurant,Chinese Restaurant,Bar,Supermarket,Indian Restaurant,Italian Restaurant
CROYDON,2132,-33.883163,151.114771,3,10608,mid-age,49,3.0,Café,Pizza Place,Japanese Restaurant,Thai Restaurant,Women's Store,Bakery,Pool,Italian Restaurant,Indian Restaurant,Farmers Market
CROYDON PARK,2133,-33.895299,151.10858100000002,0,11017,mid-age,49,0.0,Park,Convenience Store,Asian Restaurant,Pub,Chinese Restaurant,Sandwich Place,Fast Food Restaurant,Mediterranean Restaurant,Lebanese Restaurant,Thai Restaurant
CUMBERLAND REACH,2756,-33.455858,150.896276,12,182,mid-age,49,,,,,,,,,,,
CURL CURL,2096,-33.768937,151.294035,14,2419,mid-age,49,2.0,Park,Surf Spot,Dog Run,Beach,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
CURRANS HILL,2567,-34.045179,150.764007,19,5291,adult,29,1.0,Thrift / Vintage Store,Italian Restaurant,Grocery Store,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
CURRAWONG BEACH,2108,-33.597338,151.29836699999998,1,40,senior+,69,4.0,Beach,Yoga Studio,Food Truck,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
DACEYVILLE,2032,-33.928043,151.22513,7,1204,senior+,69,1.0,Golf Course,Thai Restaurant,Grocery Store,Park,Malay Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
DANGAR ISLAND,2083,-33.539357,151.24176200000002,0,310,mid-age,49,3.0,Event Service,Café,Harbor / Marina,Gastropub,Yoga Studio,Egyptian Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market
DARLING POINT,2027,-33.873808000000004,151.236683,7,4192,senior+,69,2.0,Park,Italian Restaurant,Café,Harbor / Marina,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
DARLINGHURST,2010,-33.879825,151.21956,30,11322,adult,29,3.0,Café,Italian Restaurant,Bar,Japanese Restaurant,Pub,Pizza Place,Burger Joint,Ice Cream Shop,Indian Restaurant,Theater
DARLINGTON,2008,-33.891348,151.191243,4,3092,adult,29,3.0,Café,Thai Restaurant,Performing Arts Venue,Pub,Pizza Place,College Rec Center,Japanese Restaurant,Italian Restaurant,Turkish Restaurant,Coffee Shop
DARLINGTON,2330,-32.558283,151.159556,3,374,adult,29,3.0,Café,Thai Restaurant,Performing Arts Venue,Pub,Pizza Place,College Rec Center,Japanese Restaurant,Italian Restaurant,Turkish Restaurant,Coffee Shop
DAVIDSON,2085,-33.738731,151.194197,4,2841,mid-age,49,1.0,Trail,Furniture / Home Store,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
DAWES POINT,2000,-33.855601,151.20821999999998,18,359,mid-age,49,3.0,Café,Australian Restaurant,Boat or Ferry,Hotel,Japanese Restaurant,Harbor / Marina,Pub,Scenic Lookout,Brewery,Hotel Bar
DEAN PARK,2761,-33.73616,150.860027,15,3226,adult,29,0.0,Hotel Bar,Convenience Store,Dance Studio,Market,Burger Joint,Chinese Restaurant,Filipino Restaurant,Event Space,Falafel Restaurant,Farm
DEE WHY,2099,-33.753451,151.28554,20,21518,adult,29,0.0,Supermarket,Pizza Place,Shopping Mall,Fried Chicken Joint,Japanese Restaurant,Fast Food Restaurant,Grocery Store,Pub,Coffee Shop,Middle Eastern Restaurant
DENHAM COURT,2565,-33.990080999999996,150.844653,3,1982,adult,29,,,,,,,,,,,
DENISTONE,2114,-33.799440999999995,151.07959,12,3750,mid-age,49,1.0,Playground,Film Studio,Australian Restaurant,Health Food Store,Shoe Store,Flea Market,Fishing Store,Electronics Store,Event Service,Event Space
DENISTONE EAST,2112,-33.797177000000005,151.097546,11,2246,mid-age,49,3.0,Café,Scenic Lookout,Deli / Bodega,Farmers Market,Yoga Studio,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Fast Food Restaurant
DENISTONE WEST,2114,-33.802382,151.06608500000002,12,935,mid-age,49,3.0,Italian Restaurant,Motel,Golf Course,Café,Pet Store,Chinese Restaurant,Yoga Studio,Event Service,Event Space,Falafel Restaurant
DHARRUK,2770,-33.743232,150.816642,12,2765,adult,29,,,,,,,,,,,
DOLANS BAY,2229,-34.05968,151.126746,15,602,mid-age,49,1.0,Boat or Ferry,Home Service,Sports Club,Harbor / Marina,Yoga Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
DOLLS POINT,2219,-33.993495,151.146801,7,1658,mid-age,49,3.0,Park,Café,Cupcake Shop,Sports Bar,Indian Restaurant,Beach,Yoga Studio,Falafel Restaurant,Farm,Farmers Market
DOONSIDE,2767,-33.765071,150.86928999999998,11,13461,adult,29,0.0,BBQ Joint,Platform,Pizza Place,Grocery Store,Restaurant,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
DOUBLE BAY,2028,-33.879059999999996,151.24309499999998,3,4636,adult,29,3.0,Café,Liquor Store,Japanese Restaurant,Thai Restaurant,Cocktail Bar,Bar,Supermarket,Bakery,Malay Restaurant,Italian Restaurant
DOVER HEIGHTS,2030,-33.874404999999996,151.280416,19,3799,mid-age,49,1.0,Playground,Boat or Ferry,Coffee Shop,Park,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
DRUMMOYNE,2047,-33.851056,151.154542,3,11941,adult,29,3.0,Café,Pub,Market,Convenience Store,Cricket Ground,Bakery,Vietnamese Restaurant,Sushi Restaurant,Sandwich Place,Grocery Store
DUFFYS FOREST,2084,-33.676775,151.199879,3,474,mid-age,49,1.0,Stadium,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
DULWICH HILL,2203,-33.904689000000005,151.138774,4,13712,adult,29,3.0,Café,Bakery,Plaza,Grocery Store,Park,Coffee Shop,Pub,Diner,Bus Stop,Mediterranean Restaurant
DUNDAS,2117,-33.799405,151.044189,6,4729,adult,29,1.0,Garden,Shopping Plaza,Grocery Store,Bus Station,Library,Fishing Store,Fish Market,Electronics Store,Food,Event Service
DUNDAS VALLEY,2117,-33.787240000000004,151.06118500000002,6,5402,adult,29,1.0,Burger Joint,Garden Center,Thai Restaurant,Dessert Shop,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
DURAL,2158,-33.681875,151.028435,3,7560,mid-age,49,1.0,Italian Restaurant,Grocery Store,Gym / Fitness Center,Scenic Lookout,Garden,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
EAGLE VALE,2558,-34.037882,150.814153,5,5794,adult,29,1.0,Pool,Soccer Field,Business Service,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
EARLWOOD,2206,-33.92651,151.12648000000002,6,17744,mid-age,49,3.0,Café,Pizza Place,Fast Food Restaurant,Supermarket,Park,Gym,Thai Restaurant,Fish Market,Farm,Food
EAST HILLS,2213,-33.963359000000004,150.986695,6,3205,mid-age,49,1.0,Platform,Train Station,Park,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
EAST KILLARA,2071,-33.753498,151.170003,4,2979,mid-age,49,2.0,Park,Trail,Yoga Studio,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
EAST KURRAJONG,2758,-33.514480999999996,150.764601,4,2202,mid-age,49,,,,,,,,,,,
EAST LINDFIELD,2070,-33.766415,151.186095,10,3731,mid-age,49,3.0,Grocery Store,Food & Drink Shop,Café,Shopping Plaza,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
EAST RYDE,2113,-33.813769,151.140289,22,2440,mid-age,49,1.0,Playground,Bakery,Trail,Scenic Lookout,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
EASTERN CREEK,2766,-33.803114,150.852192,7,824,adult,29,1.0,Asian Restaurant,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
EASTGARDENS,2036,-33.946042999999996,151.223301,12,858,senior+,69,0.0,Coffee Shop,Supermarket,Department Store,Fast Food Restaurant,Café,Food Court,Bus Stop,Sushi Restaurant,Electronics Store,Thai Restaurant
EASTLAKES,2018,-33.925133,151.213199,11,6922,adult,29,0.0,Supermarket,Food & Drink Shop,Electronics Store,Grocery Store,Shopping Mall,Garden Center,Park,Fast Food Restaurant,Event Service,Event Space
EASTWOOD,2122,-33.789986,151.08091399999998,25,17852,adult,29,0.0,Chinese Restaurant,Korean Restaurant,Vietnamese Restaurant,Japanese Restaurant,Café,Grocery Store,Pub,Dessert Shop,BBQ Joint,Frozen Yogurt Shop
EBENEZER,2756,-33.52466,150.881372,12,984,mid-age,49,,,,,,,,,,,
EDENSOR PARK,2176,-33.877057,150.875292,18,9764,mid-age,49,0.0,Supermarket,Athletics & Sports,Deli / Bodega,Shopping Mall,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
EDGECLIFF,2027,-33.878586,151.235106,7,2576,adult,29,3.0,Café,Supermarket,Sandwich Place,Park,Yoga Studio,Train Station,Bakery,Liquor Store,Gym,Indian Restaurant
ELANORA HEIGHTS,2101,-33.695015000000005,151.280156,9,4353,mid-age,49,0.0,Spa,Pizza Place,Café,Grocery Store,Gym,Shopping Mall,Fast Food Restaurant,Electronics Store,Event Service,Event Space
ELDERSLIE,2335,-32.591783,151.33250900000002,1,112,mid-age,49,1.0,Deli / Bodega,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
ELDERSLIE,2570,-34.059038,150.71142700000001,16,6020,adult,29,1.0,Deli / Bodega,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
ELIZABETH BAY,2011,-33.872828999999996,151.22659299999998,30,5218,adult,29,3.0,Café,Hotel,Italian Restaurant,Australian Restaurant,Japanese Restaurant,Coffee Shop,Thai Restaurant,Supermarket,Sushi Restaurant,Pizza Place
ELLIS LANE,2570,-34.040061,150.672006,16,837,mid-age,49,1.0,Construction & Landscaping,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
ELVINA BAY,2105,-33.642011,151.27610900000002,0,79,mid-age,49,4.0,Beach,Yoga Studio,Food Truck,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
EMERTON,2770,-33.742855,150.80826299999998,12,2251,adult,29,0.0,Shopping Mall,Fast Food Restaurant,Pizza Place,Grocery Store,Fried Chicken Joint,Gym / Fitness Center,Fruit & Vegetable Store,Gym Pool,Yoga Studio,Farm
EMU HEIGHTS,2750,-33.735636,150.650321,27,3282,mid-age,49,1.0,Playground,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
EMU PLAINS,2750,-33.754096999999994,150.653269,27,8411,senior+,69,0.0,Bar,Gym,Noodle House,Liquor Store,Yoga Studio,Fast Food Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
ENFIELD,2136,-33.886854,151.092425,0,2825,adult,29,0.0,Lebanese Restaurant,Pizza Place,Pool,Electronics Store,Fish & Chips Shop,Café,Pet Store,Gas Station,Liquor Store,Grocery Store
ENGADINE,2233,-34.065715999999995,151.01266299999997,13,17373,mid-age,49,3.0,Café,Fast Food Restaurant,Coffee Shop,Discount Store,Grocery Store,Sandwich Place,Sushi Restaurant,Video Store,Shopping Mall,Bowling Alley
ENGLORIE PARK,2560,-34.082052000000004,150.795131,19,417,adult,29,2.0,Park,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
ENMORE,2042,-33.899361999999996,151.171098,9,3886,adult,29,0.0,Pizza Place,Café,Bar,Vietnamese Restaurant,Pub,Turkish Restaurant,Italian Restaurant,Pakistani Restaurant,Ice Cream Shop,Yoga Studio
ENMORE,2350,-30.721541,151.731619,4,51,senior+,69,0.0,Pizza Place,Café,Bar,Vietnamese Restaurant,Pub,Turkish Restaurant,Italian Restaurant,Pakistani Restaurant,Ice Cream Shop,Yoga Studio
ENMORE,2042,-30.721541,151.731619,1,3880,adult,29,0.0,Pizza Place,Café,Bar,Vietnamese Restaurant,Pub,Turkish Restaurant,Italian Restaurant,Pakistani Restaurant,Ice Cream Shop,Yoga Studio
EPPING,2121,-33.772549,151.08236499999998,4,23692,adult,29,0.0,Thai Restaurant,Pizza Place,Vietnamese Restaurant,Metro Station,Pharmacy,Train Station,Korean Restaurant,Fried Chicken Joint,Malay Restaurant,Japanese Restaurant
ERMINGTON,2115,-33.814144,151.054495,4,10735,adult,29,0.0,Food & Drink Shop,Supermarket,Library,Sandwich Place,Seafood Restaurant,Fast Food Restaurant,Intersection,Bakery,Fried Chicken Joint,Farmers Market
ERSKINE PARK,2759,-33.807618,150.789313,10,6443,mid-age,49,1.0,Athletics & Sports,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
ERSKINEVILLE,2043,-33.902234,151.186192,6,8001,adult,29,3.0,Café,Thai Restaurant,Pizza Place,Pub,Bakery,Grocery Store,Bus Stop,Sake Bar,Gourmet Shop,Bistro
ESCHOL PARK,2558,-34.031357,150.80968000000001,5,2565,adult,29,1.0,Soccer Field,Vietnamese Restaurant,Clothing Store,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
EVELEIGH,2015,-33.897075,151.19113000000002,11,667,adult,29,3.0,Italian Restaurant,Café,Bar,Office,Breakfast Spot,Gourmet Shop,Bistro,Performing Arts Venue,Pub,Park
FAIRFIELD,2165,-33.868528999999995,150.955512,4,18078,adult,29,0.0,Fast Food Restaurant,Supermarket,Bakery,Post Office,Gym,Bus Station,Lebanese Restaurant,Sandwich Place,Department Store,Fruit & Vegetable Store
FAIRFIELD EAST,2165,-33.869448999999996,150.977528,4,5273,adult,29,1.0,Automotive Shop,Gym,Business Service,Park,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
FAIRFIELD HEIGHTS,2165,-33.864603,150.93845100000001,4,7524,adult,29,0.0,Pizza Place,Supermarket,Middle Eastern Restaurant,Neighborhood,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
FAIRFIELD WEST,2165,-33.868955,150.922057,4,11561,adult,29,0.0,Supermarket,Gym,Business Service,Coffee Shop,Shopping Mall,Fast Food Restaurant,Field,Event Service,Event Space,Falafel Restaurant
FAIRLIGHT,2094,-33.794163,151.273978,6,5839,adult,29,3.0,Café,Bowling Alley,Pie Shop,Grocery Store,Liquor Store,Golf Course,Flower Shop,Flea Market,Event Service,Event Space
FIDDLETOWN,2159,-33.602321,151.055702,3,241,mid-age,49,,,,,,,,,,,
FIVE DOCK,2046,-33.866368,151.13013600000002,14,9362,mid-age,49,0.0,Café,Deli / Bodega,Sushi Restaurant,Coffee Shop,Park,Pizza Place,Gym,South Indian Restaurant,Mediterranean Restaurant,Fast Food Restaurant
FOREST GLEN,2157,-33.549519000000004,151.012846,0,69,senior+,69,,,,,,,,,,,
FOREST LODGE,2037,-33.881215000000005,151.181127,4,4584,adult,29,3.0,Café,Pub,Yoga Studio,Pizza Place,Basketball Court,Bus Stop,Field,Event Space,Falafel Restaurant,Farm
FORESTVILLE,2087,-33.762011,151.21406000000002,6,8323,mid-age,49,0.0,Pizza Place,Sports Bar,Coffee Shop,Bakery,Supermarket,Park,Yoga Studio,Field,Electronics Store,Event Service
FREEMANS REACH,2756,-33.545429,150.794878,12,1969,mid-age,49,,,,,,,,,,,
FRENCHS FOREST,2086,-33.750964,151.22603600000002,6,13481,mid-age,49,0.0,Bus Station,Café,Grocery Store,Fast Food Restaurant,Convenience Store,Shopping Mall,Sandwich Place,Liquor Store,Bakery,Supermarket
GALSTON,2159,-33.652661,151.043059,3,3143,mid-age,49,3.0,Café,Grocery Store,Fried Chicken Joint,Pub,Shopping Mall,Yoga Studio,Fast Food Restaurant,Electronics Store,Event Service,Event Space
GEORGES HALL,2198,-33.912851,150.98246899999998,2,9041,adult,29,1.0,Heliport,Grocery Store,Fish & Chips Shop,Bus Station,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
GILEAD,2560,-34.107034999999996,150.76181499999998,19,413,senior+,69,,,,,,,,,,,
GIRRAWEEN,2145,-33.799843,150.947276,42,5577,adult,29,3.0,Playground,Car Wash,Café,Dance Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
GLADESVILLE,2111,-33.832894,151.126964,12,11825,mid-age,49,0.0,Thai Restaurant,Supermarket,Bakery,Pet Store,Café,Shopping Mall,Sporting Goods Shop,Music Store,Pub,Seafood Restaurant
GLEBE,2037,-33.880815000000005,151.187791,4,11537,adult,29,3.0,Café,Coffee Shop,Pub,Pizza Place,Eastern European Restaurant,Indian Restaurant,Bar,Thai Restaurant,Seafood Restaurant,Bookstore
GLEN ALPINE,2560,-34.084184,150.775275,19,4566,mid-age,49,,,,,,,,,,,
GLENDENNING,2761,-33.739075,150.855174,15,5135,adult,29,0.0,Fast Food Restaurant,Pet Store,Convenience Store,Film Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
GLENFIELD,2167,-33.971305,150.89451699999998,0,9639,adult,29,0.0,Platform,Bakery,Fried Chicken Joint,Train Station,Yoga Studio,Field,Event Service,Event Space,Falafel Restaurant,Farm
GLENHAVEN,2156,-33.703218,151.006899,3,6501,senior+,69,1.0,Health & Beauty Service,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
GLENMORE PARK,2745,-33.790683,150.6693,13,23005,adult,29,0.0,Fast Food Restaurant,Café,Grocery Store,Sandwich Place,Coffee Shop,Shop & Service,Bakery,Park,Yoga Studio,Event Service
GLENORIE,2157,-33.620011,151.02303500000002,0,3497,mid-age,49,,,,,,,,,,,
GLENWOOD,2768,-33.737863,150.922732,3,16135,mid-age,49,1.0,Bus Line,Park,Bus Station,Gas Station,Electronics Store,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
GLOSSODIA,2756,-33.535657,150.765856,12,2815,adult,29,0.0,Pizza Place,Yoga Studio,Filipino Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
GORDON,2072,-33.757349,151.155678,7,7679,mid-age,49,0.0,Bakery,Thai Restaurant,Pizza Place,Café,Coffee Shop,Chinese Restaurant,Sandwich Place,Pharmacy,Platform,Sushi Restaurant
GRANVILLE,2142,-33.835887,151.01064,7,15332,adult,29,0.0,Platform,Lebanese Restaurant,Dessert Shop,Middle Eastern Restaurant,Train Station,Food,Buffet,Bus Station,Fast Food Restaurant,Sports Bar
GRASMERE,2570,-34.056293,150.67317,16,1981,senior+,69,1.0,Arts & Entertainment,Yoga Studio,Egyptian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
GRAYS POINT,2232,-34.058840000000004,151.081652,18,3113,mid-age,49,3.0,Roof Deck,Café,Home Service,Liquor Store,Harbor / Marina,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
GREAT MACKEREL BEACH,2108,-33.591729,151.300451,1,36,senior+,69,4.0,Vacation Rental,Beach,Yoga Studio,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
GREEN VALLEY,2168,-33.903526,150.86636000000001,13,12518,mid-age,49,0.0,Asian Restaurant,Convenience Store,Shopping Mall,Coffee Shop,Gym,Fast Food Restaurant,Thai Restaurant,Chinese Restaurant,Supermarket,Yoga Studio
GREENACRE,2190,-33.906744,151.057271,3,24372,adult,29,0.0,Dessert Shop,Food Truck,Frozen Yogurt Shop,Burger Joint,Supermarket,Grocery Store,Lebanese Restaurant,Dentist's Office,Cuban Restaurant,Farm
GREENDALE,2550,-36.600111,149.852112,1,66,mid-age,49,,,,,,,,,,,
GREENDALE,2745,-33.904792,150.646795,13,354,mid-age,49,,,,,,,,,,,
GREENFIELD PARK,2176,-33.872187,150.889408,18,5100,mid-age,49,3.0,Grocery Store,Café,Pub,Yoga Studio,Field,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
GREENWICH,2065,-33.831958,151.186129,22,5618,adult,29,3.0,Café,Grocery Store,Seafood Restaurant,Park,Yoga Studio,Farmers Market,Electronics Store,Event Service,Event Space,Falafel Restaurant
GREYSTANES,2145,-33.829667,150.951452,42,22796,adult,29,0.0,Supermarket,Soccer Field,Pet Store,Pub,Shopping Mall,Park,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service
GROSE VALE,2753,-33.584089,150.672944,5,1270,mid-age,49,,,,,,,,,,,
