suburb,postcode,lat,lon,total_patient,population,age,AM
MERRYLANDS,2160,-33.836381,150.989219,6,29660,adult,29
MERRYLANDS WEST,2160,-33.832864,150.972036,6,6596,adult,29
MIDDLE COVE,2068,-33.794087,151.207975,15,1327,mid-age,49
MIDDLE DURAL,2158,-33.648471,151.021276,3,1011,senior+,69
MIDDLETON GRANGE,2171,-33.914093,150.843547,12,5181,adult,29
MILLERS POINT,2000,-33.858315000000005,151.203519,18,1494,mid-age,49
MILPERRA,2214,-33.937834,150.989263,0,3938,mid-age,49
MILSONS PASSAGE,2083,-33.518966999999996,151.176541,0,16,senior+,69
MILSONS POINT,2061,-33.847526,151.211568,3,2166,adult,29
MINCHINBURY,2770,-33.781673,150.81366699999998,12,5626,adult,29
MINTO,2566,-34.032022,150.848208,4,12560,adult,29
MINTO HEIGHTS,2566,-34.037543,150.871353,4,365,senior+,69
MIRANDA,2228,-34.034014,151.100428,6,15269,adult,29
MONA VALE,2103,-33.67707,151.30031599999998,5,10668,senior+,69
MONTEREY,2217,-33.973068,151.150983,10,4539,mid-age,49
MOORE PARK,2021,-33.893632000000004,151.219357,23,18,adult,29
MOOREBANK,2170,-33.933805,150.953602,22,9739,adult,29
MORNING BAY,2108,-33.623044,151.281623,1,302,senior+,69
MORTDALE,2223,-33.972239,151.075391,3,10415,adult,29
MORTLAKE,2137,-33.843435,151.10698,10,1043,adult,29
MOSMAN,2088,-33.829077000000005,151.24409,41,28470,mid-age,49
MOUNT ANNAN,2567,-34.054864,150.764158,19,11696,mid-age,49
MOUNT COLAH,2079,-33.664817,151.117161,1,7093,mid-age,49
MOUNT DRUITT,2770,-33.766434000000004,150.81698899999998,12,16730,adult,29
MOUNT LEWIS,2190,-33.917157,151.04783799999998,3,1194,adult,29
MOUNT LEWIS,2200,-33.917157,151.04783799999998,13,1191,adult,29
MOUNT PRITCHARD,2170,-33.894816999999996,150.90304,22,9960,adult,29
MOUNT VERNON,2178,-33.862377,150.80788700000002,2,1188,mid-age,49
MULGOA,2745,-33.838167,150.683371,13,1898,mid-age,49
MULGRAVE,2756,-33.626053000000006,150.829912,12,76,young,9
NARELLAN VALE,2567,-34.055271000000005,150.74408,19,7188,mid-age,49
NAREMBURN,2065,-33.817299,151.20116000000002,22,5885,adult,29
NARRABEEN,2101,-33.723127000000005,151.287366,9,8194,senior+,69
NARRAWEENA,2099,-33.749912,151.274687,20,6625,mid-age,49
NARWEE,2209,-33.948609000000005,151.069628,12,5622,adult,29
NELSON,2550,-36.675498,149.971179,1,8,young,9
NELSON,2765,-33.652795000000005,150.915685,7,444,senior+,69
NEUTRAL BAY,2089,-33.83112,151.22123200000001,9,10478,adult,29
NEWINGTON,2127,-33.839276,151.05482800000001,5,5798,adult,29
NEWPORT,2106,-33.659896,151.309312,5,9283,mid-age,49
NEWTOWN,2042,-33.896449,151.180013,9,15027,adult,29
NORMANHURST,2076,-33.720999,151.097331,11,5280,mid-age,49
NORTH BALGOWLAH,2093,-33.787074,151.251721,12,3653,mid-age,49
NORTH BONDI,2026,-33.8857,151.279788,113,9162,adult,29
NORTH CURL CURL,2099,-33.761652000000005,151.295691,20,4108,mid-age,49
NORTH EPPING,2121,-33.759777,151.087742,4,4538,mid-age,49
NORTH MANLY,2100,-33.775702,151.269339,11,3074,mid-age,49
NORTH NARRABEEN,2101,-33.702661,151.293622,9,5864,mid-age,49
NORTH PARRAMATTA,2151,-33.798043,151.010707,5,13253,adult,29
NORTH RICHMOND,2754,-33.582355,150.721891,3,4983,mid-age,49
NORTH ROCKS,2151,-33.768119,151.02854,5,7978,mid-age,49
NORTH RYDE,2113,-33.79677,151.124355,22,10867,mid-age,49
NORTH ST MARYS,2760,-33.776502,150.781319,11,3903,adult,29
NORTH STRATHFIELD,2137,-33.857459999999996,151.09195400000002,10,4748,adult,29
NORTH SYDNEY,2055,-33.802837,151.104935,0,7707,adult,29
NORTH SYDNEY,2060,-33.838265,151.206481,11,7713,adult,29
NORTH TURRAMURRA,2074,-33.713419,151.147146,14,4269,senior+,69
NORTH WILLOUGHBY,2068,-33.793089,151.19578700000002,15,4173,mid-age,49
NORTH WAHROONGA,2076,-33.702704,151.123179,11,1975,mid-age,49
NORTHBRIDGE,2063,-33.815028000000005,151.222266,1,6331,mid-age,49
NORTHMEAD,2152,-33.783849,150.994336,5,11216,adult,29
NORTHWOOD,2066,-33.829732,151.177751,16,987,mid-age,49
OAKHURST,2761,-33.744048,150.83481899999998,15,6959,adult,29
OAKVILLE,2765,-33.622562,150.862154,7,1969,mid-age,49
OATLANDS,2117,-33.796298,151.02631399999999,6,5661,mid-age,49
OATLEY,2223,-33.981428,151.082765,3,10491,mid-age,49
OLD GUILDFORD,2161,-33.867084000000006,150.98807299999999,8,2667,adult,29
OLD TOONGABBIE,2146,-33.792713,150.974108,0,3126,mid-age,49
ORAN PARK,2570,-34.006941,150.723908,16,4762,adult,29
ORCHARD HILLS,2748,-33.779331,150.71631200000002,1,1890,mid-age,49
OXFORD FALLS,2100,-33.730197,151.24821799999998,11,143,senior+,69
OXLEY PARK,2760,-33.771260999999996,150.79263999999998,11,3100,adult,29
OYSTER BAY,2225,-34.006894,151.081067,5,5479,mid-age,49
PADDINGTON,2021,-33.885032,151.226475,23,12922,adult,29
PADSTOW,2211,-33.953915,151.038163,6,13313,mid-age,49
PADSTOW HEIGHTS,2211,-33.971073,151.030955,6,3537,senior+,69
PAGEWOOD,2035,-33.940108,151.22841100000002,22,3792,mid-age,49
PALM BEACH,2108,-33.604282,151.321419,1,1586,senior+,69
PANANIA,2213,-33.95613,150.99804699999999,6,12418,mid-age,49
PARKLEA,2768,-33.728123,150.923807,3,3477,adult,29
PARRAMATTA,2150,-33.816957,151.003451,5,25793,adult,29
PEAKHURST,2210,-33.959715,151.06218700000002,21,10548,senior+,69
PEAKHURST HEIGHTS,2210,-33.968127,151.057596,21,2345,senior+,69
PEMULWUY,2145,-33.821944,150.923752,42,5013,adult,29
PENDLE HILL,2145,-33.801912,150.955614,42,7244,adult,29
PENNANT HILLS,2120,-33.738681,151.071433,13,7296,mid-age,49
PENRITH,2750,-33.744073,150.69602,27,13300,adult,29
PENSHURST,2222,-33.963346,151.08674399999998,0,12800,adult,29
PETERSHAM,2049,-33.896242,151.15413600000002,4,8096,adult,29
PHILLIP BAY,2036,-33.980556,151.236692,12,702,mid-age,49
PICNIC POINT,2213,-33.979303,151.000056,6,6148,mid-age,49
PITT TOWN,2756,-33.586184,150.860081,12,3036,mid-age,49
PITT TOWN BOTTOMS,2756,-33.596291,150.841424,12,107,mid-age,49
PLEASURE POINT,2172,-33.966909,150.98764,1,517,mid-age,49
PLUMPTON,2761,-33.751432,150.841204,15,9193,adult,29
POINT PIPER,2027,-33.870083,151.252329,7,1424,senior+,69
PORT BOTANY,2036,-33.966245,151.225013,12,8790,senior+,69
PORT HACKING,2229,-34.067503,151.122449,15,1097,young,9
POTTS HILL,2143,-33.898247,151.031087,0,876,adult,29
POTTS POINT,2011,-33.869026,151.225603,30,9421,adult,29
PRAIRIEWOOD,2176,-33.867342,150.90213,18,3254,mid-age,49
PRESTONS,2170,-33.942903,150.872145,22,15308,mid-age,49
PROSPECT,2148,-33.801553000000006,150.916198,34,4726,adult,29
PUNCHBOWL,2196,-33.925686,151.05463500000002,5,20242,adult,29
PUNCHBOWL,2460,-29.494598999999997,152.795221,3,289,senior+,69
PUTNEY,2112,-33.824735,151.112549,11,4105,mid-age,49
PYMBLE,2073,-33.74414,151.14110300000002,6,11040,mid-age,49
PYRMONT,2009,-33.869709,151.19393,9,12832,adult,29
QUAKERS HILL,2763,-33.728356,150.881177,17,27077,adult,29
QUEENS PARK,2022,-33.903188,151.247205,37,3065,mid-age,49
QUEENSCLIFF,2096,-33.784595,151.287817,14,3365,adult,29
RABY,2566,-34.021071,150.81134699999998,4,5936,adult,29
RAMSGATE,2217,-33.984683000000004,151.139847,10,1113,mid-age,49
RAMSGATE BEACH,2217,-33.981114,151.1483,10,1661,senior+,69
RANDWICK,2031,-33.913164,151.24199299999998,28,29994,adult,29
REDFERN,2016,-33.892778,151.203901,7,13231,adult,29
REGENTS PARK,2143,-33.883928000000004,151.023796,0,4911,adult,29
REGENTVILLE,2745,-33.773649,150.669102,13,810,mid-age,49
REVESBY,2212,-33.951507,151.017247,4,14189,adult,29
REVESBY HEIGHTS,2212,-33.968802000000004,151.015063,4,1662,mid-age,49
RHODES,2138,-33.830764,151.088105,4,11920,adult,29
RICHMOND,2753,-33.597753000000004,150.75288999999998,5,5499,adult,29
RICHMOND LOWLANDS,2753,-33.568630999999996,150.757565,5,32,mid-age,49
RIVERSTONE,2765,-33.679382000000004,150.861595,7,7238,adult,29
RIVERVIEW,2066,-33.825587,151.15993400000002,16,3340,young,9
RIVERVIEW,2404,-29.904643,150.687307,0,3347,young,9
RIVERWOOD,2210,-33.949859000000004,151.052469,21,12104,adult,29
ROCKDALE,2216,-33.952746999999995,151.137624,13,15521,adult,29
RODD POINT,2046,-33.868208,151.141652,14,1405,mid-age,49
ROOKWOOD,2141,-33.866398,151.058147,7,8,senior+,69
ROOTY HILL,2766,-33.77155,150.843922,7,14705,adult,29
ROPES CROSSING,2760,-33.77448,150.81084099999998,11,6172,adult,29
ROSE BAY,2029,-33.866555,151.28045600000002,11,10040,adult,29
ROSEBERY,2018,-33.920412,151.20310700000002,11,10119,adult,29
ROSEHILL,2142,-33.819992,151.024558,7,3795,adult,29
ROSELANDS,2196,-33.933167,151.073197,5,11589,adult,29
ROSEMEADOW,2560,-34.101795,150.800106,19,7835,adult,29
ROSEVILLE,2069,-33.784634999999994,151.177111,6,10088,mid-age,49
ROSEVILLE CHASE,2069,-33.778902,151.19519499999998,6,1610,mid-age,49
ROSSMORE,2557,-33.945965,150.772763,5,2293,mid-age,49
ROUSE HILL,2155,-33.682068,150.91539699999998,25,7971,mid-age,49
ROZELLE,2039,-33.863063000000004,151.170573,5,8720,adult,29
RUSE,2560,-34.069283,150.844069,19,5585,adult,29
RUSHCUTTERS BAY,2011,-33.87624,151.228614,30,2545,adult,29
RUSSELL LEA,2046,-33.86072,151.140711,14,4999,mid-age,49
RYDALMERE,2116,-33.811244,151.03446399999999,4,6657,mid-age,49
RYDE,2112,-33.812953,151.104942,11,26507,adult,29
SACKVILLE,2756,-33.502935,150.875982,12,294,mid-age,49
SACKVILLE NORTH,2756,-33.489441,150.926902,12,316,mid-age,49
SADLEIR,2168,-33.920629,150.89021200000002,13,3137,young,9
SANDRINGHAM,2219,-33.998763000000004,151.139252,7,1236,mid-age,49
SANDY POINT,2172,-33.975419,150.993967,1,591,mid-age,49
SANS SOUCI,2219,-33.990614,151.133074,7,10296,mid-age,49
SCHEYVILLE,2756,-33.610690000000005,150.88031,12,3,mid-age,49
SCHOFIELDS,2762,-33.697216999999995,150.888428,0,4977,adult,29
SCOTLAND ISLAND,2105,-33.641752000000004,151.29011599999998,0,582,mid-age,49
SEAFORTH,2092,-33.797106,151.251146,8,7133,mid-age,49
SEFTON,2162,-33.885501,151.011469,5,5812,adult,29
SEVEN HILLS,2147,-33.775477,150.934257,12,19308,adult,29
SHALVEY,2770,-33.729372999999995,150.808375,12,3462,adult,29
SHANES PARK,2747,-33.711304999999996,150.783287,50,404,mid-age,49
SILVERWATER,2128,-33.835928,151.04759099999998,1,4159,adult,29
SILVERWATER,2264,-33.101384,151.56198999999998,5,297,senior+,69
SINGLETONS MILL,2775,-33.463598,151.07593799999998,0,3,adult,29
SMEATON GRANGE,2567,-34.039103999999995,150.756685,19,8,adult,29
SMITHFIELD,2164,-33.853546,150.94043100000002,4,11977,adult,29
SOUTH HURSTVILLE,2221,-33.977595,151.10490900000002,2,5135,adult,29
SOUTH MAROOTA,2756,-33.52308,150.948575,12,547,mid-age,49
SOUTH PENRITH,2750,-33.767176,150.70383700000002,27,11785,adult,29
SOUTH TURRAMURRA,2074,-33.746027000000005,151.113441,14,3083,mid-age,49
SOUTH WENTWORTHVILLE,2145,-33.823892,150.969376,42,6212,adult,29
SOUTH WINDSOR,2756,-33.620168,150.804452,12,5887,adult,29
SPRING FARM,2570,-34.070246999999995,150.727716,16,4295,adult,29
ST CLAIR,2330,-32.341363,151.294669,3,6,mid-age,49
ST CLAIR,2759,-33.794362,150.79026100000002,10,19894,adult,29
ST HELENS PARK,2560,-34.112264,150.798121,19,6609,adult,29
ST IVES,2075,-33.730601,151.158551,14,17295,mid-age,49
ST IVES CHASE,2075,-33.707895,151.163446,14,3163,mid-age,49
ST JOHNS PARK,2176,-33.885824,150.905403,18,6120,senior+,69
ST LEONARDS,2065,-33.823248,151.195504,22,5488,adult,29
ST MARYS,2760,-33.76676,150.774015,11,12197,adult,29
ST PETERS,2044,-33.911062,151.180126,8,3143,adult,29
STANHOPE GARDENS,2768,-33.711215,150.933621,3,9171,adult,29
STANMORE,2048,-33.897351,151.16535,2,7950,adult,29
STRATHFIELD,2135,-33.873913,151.09399299999998,13,25803,adult,29
STRATHFIELD SOUTH,2136,-33.891711,151.082992,0,3542,adult,29
SUMMER HILL,2130,-33.891712,151.137258,3,7315,adult,29
SUMMER HILL,2287,-32.478428,151.519413,17,7315,adult,29
SURRY HILLS,2010,-33.888821,151.213328,30,16408,adult,29
SUTHERLAND,2232,-34.031432,151.057965,18,10818,adult,29
SYDENHAM,2044,-33.915222,151.166104,8,1149,adult,29
SYLVANIA,2224,-34.008075,151.105104,7,10489,senior+,69
SYLVANIA WATERS,2224,-34.019802,151.115847,7,3159,mid-age,49
TAMARAMA,2026,-33.897439,151.271839,113,1627,adult,29
TAREN POINT,2229,-34.012545,151.125456,15,1732,senior+,69
TELOPEA,2117,-33.795986,151.045106,6,5426,adult,29
TEMPE,2044,-33.924777,151.160747,8,3548,adult,29
TENNYSON,2754,-33.536388,150.736946,3,385,senior+,69
TENNYSON POINT,2111,-33.831447999999995,151.117286,12,1227,mid-age,49
TERREY HILLS,2084,-33.683644,151.22847,3,3034,mid-age,49
THE PONDS,2769,-34.054326,150.753104,4,11715,adult,29
THE ROCKS,2000,-33.859251,151.208782,18,773,adult,29
THE SLOPES,2754,-33.532102,150.708405,3,344,mid-age,49
THORNLEIGH,2120,-33.730816,151.08122600000002,13,8461,mid-age,49
TOONGABBIE,2146,-33.788942,150.95064399999998,0,14345,adult,29
TREGEAR,2770,-33.751082000000004,150.795678,12,3885,adult,29
TURRAMURRA,2074,-33.733244,151.129809,14,11926,mid-age,49
TURRELLA,2205,-33.929963,151.14064299999998,8,2522,adult,29
ULTIMO,2007,-33.878415999999994,151.197272,9,8831,adult,29
VARROVILLE,2566,-34.010255,150.822979,4,106,senior+,69
VAUCLUSE,2030,-33.859047,151.278434,19,9335,mid-age,49
VILLAWOOD,2163,-33.883679,150.97646799999998,7,6026,adult,29
VOYAGER POINT,2172,-33.964546999999996,150.97238000000002,1,1674,mid-age,49
WAHROONGA,2076,-33.716405,151.118119,11,17367,mid-age,49
WAITARA,2077,-33.709540999999994,151.104136,22,5944,adult,29
WAKELEY,2176,-33.873965999999996,150.90888,18,4750,adult,29
WALLACIA,2745,-33.865179,150.64041799999998,13,1627,mid-age,49
WAREEMBA,2046,-33.856828,151.130728,14,1555,mid-age,49
WARRAWEE,2074,-33.722839,151.126134,14,2982,mid-age,49
WARRIEWOOD,2102,-33.686265,151.29908,7,7497,mid-age,49
WARWICK FARM,2170,-33.913423,150.932752,22,5867,adult,29
WATERFALL,2233,-34.1352,150.994957,13,483,mid-age,49
WATERLOO,2017,-33.9004,151.206144,11,14619,adult,29
WATSONS BAY,2030,-33.844806,151.282368,19,853,mid-age,49
WATTLE GROVE,2173,-33.963316,150.936403,1,8960,adult,29
WAVERLEY,2024,-33.897954999999996,151.252059,17,4349,adult,29
WAVERTON,2060,-33.839969,151.195808,11,3010,adult,29
WEDDERBURN,2560,-34.127555,150.812698,19,627,mid-age,49
WENTWORTHVILLE,2145,-33.805921999999995,150.97018300000002,42,11325,adult,29
WERRINGTON,2747,-33.757725,150.739982,50,4028,adult,29
WERRINGTON COUNTY,2747,-33.747939,150.751155,50,3642,adult,29
WERRINGTON DOWNS,2747,-33.740586,150.733755,50,3240,adult,29
WEST HOXTON,2171,-33.922272,150.839967,12,10015,mid-age,49
WEST PENNANT HILLS,2125,-33.753676,151.039113,14,16367,mid-age,49
WEST PYMBLE,2073,-33.760383000000004,151.126038,6,5305,mid-age,49
WEST RYDE,2114,-33.807712,151.08872399999998,12,13397,adult,29
WESTLEIGH,2120,-33.711956,151.07283600000002,13,4463,mid-age,49
WESTMEAD,2145,-33.805332,150.98660800000002,42,16306,adult,29
WETHERILL PARK,2164,-33.847512,150.913204,4,6147,adult,29
WHALAN,2770,-33.760165,150.809528,12,5962,adult,29
WHALE BEACH,2107,-33.614274,151.330438,6,248,senior+,69
WHEELER HEIGHTS,2097,-33.732476,151.277439,13,2997,mid-age,49
WILBERFORCE,2756,-33.558178999999996,150.847506,12,3001,mid-age,49
WILEY PARK,2195,-33.922464,151.068194,5,10127,adult,29
WILLMOT,2770,-33.727621,150.79156899999998,12,2445,young,9
WILLOUGHBY,2068,-33.801483000000005,151.1986,15,6542,mid-age,49
WILLOUGHBY EAST,2068,-33.802534,151.203505,15,1818,mid-age,49
WINDSOR,2756,-33.608814,150.81748100000002,12,1900,mid-age,49
WINDSOR DOWNS,2756,-33.667695,150.803079,12,1183,mid-age,49
WINSTON HILLS,2153,-33.776053999999995,150.987795,15,11694,mid-age,49
WISEMANS FERRY,2775,-33.408879,150.980048,0,229,mid-age,49
WOLLI CREEK,2205,-33.930744,151.155272,8,6387,adult,29
WOLLSTONECRAFT,2065,-33.828158,151.196621,22,8323,adult,29
WOODBINE,2560,-34.049892,150.818872,19,2750,adult,29
WOODCROFT,2767,-33.754985999999995,150.879666,11,6448,adult,29
WOODPARK,2164,-33.84063,150.961859,4,1519,adult,29
WOOLLAHRA,2025,-33.885795,151.24413,16,7414,adult,29
WOOLLOOMOOLOO,2011,-33.869283,151.220412,30,4014,adult,29
WOOLOOWARE,2230,-34.048276,151.141431,25,3967,mid-age,49
WOOLWICH,2110,-33.838392999999996,151.172535,10,814,senior+,69
WORONORA,2232,-34.020654,151.047946,18,2193,mid-age,49
WORONORA HEIGHTS,2233,-34.034836,151.027656,13,2870,mid-age,49
YAGOONA,2199,-33.907725,151.026108,11,18014,adult,29
YARRAMUNDI,2753,-33.627259,150.672695,5,828,mid-age,49
YARRAWARRAH,2233,-34.058462,151.03278999999998,13,2726,mid-age,49
YENNORA,2161,-33.860889,150.969356,8,1616,senior+,69
YOWIE BAY,2228,-34.049865999999994,151.104325,6,3095,mid-age,49
ZETLAND,2017,-33.909938000000004,151.206234,11,10071,adult,29
