population,age
15854,20 to 39
6166,20 to 39
1240,40 to 59
7727,20 to 39
634,40 to 59
30681,20 to 39
26607,20 to 39
1009,60+
13293,20 to 39
14759,20 to 39
9812,40 to 59
762,20 to 39
2550,40 to 59
2283,20 to 39
4406,20 to 39
1576,40 to 59
10321,40 to 59
258,20 to 39
29660,20 to 39
6596,20 to 39
1327,40 to 59
1011,60+
5181,20 to 39
1494,40 to 59
3938,40 to 59
16,60+
2166,20 to 39
5626,20 to 39
12560,20 to 39
365,60+
15269,20 to 39
10668,60+
4539,40 to 59
18,20 to 39
9739,20 to 39
,
10415,20 to 39
1043,20 to 39
28470,40 to 59
11696,40 to 59
7093,40 to 59
16730,20 to 39
1194,20 to 39
,
9960,20 to 39
1188,40 to 59
1898,40 to 59
76,5 to 19
7188,40 to 59
5885,20 to 39
8194,60+
6625,40 to 59
5622,20 to 39
8,5 to 19
444,60+
10478,20 to 39
5798,20 to 39
9283,40 to 59
15027,20 to 39
5280,40 to 59
3653,40 to 59
9162,20 to 39
4108,40 to 59
4538,40 to 59
3074,40 to 59
5864,40 to 59
13253,20 to 39
4983,40 to 59
7978,40 to 59
10867,40 to 59
3903,20 to 39
4748,20 to 39
,
7713,20 to 39
4269,60+
4173,40 to 59
1975,40 to 59
6331,40 to 59
11216,20 to 39
987,40 to 59
6959,20 to 39
1969,40 to 59
5661,40 to 59
10491,40 to 59
2667,20 to 39
3126,40 to 59
4762,20 to 39
1890,40 to 59
143,60+
3100,20 to 39
5479,40 to 59
12922,20 to 39
13313,40 to 59
3537,60+
3792,40 to 59
1586,60+
12418,40 to 59
3477,20 to 39
25793,20 to 39
10548,60+
2345,60+
5013,20 to 39
7244,20 to 39
7296,40 to 59
13300,20 to 39
12800,20 to 39
8096,20 to 39
702,40 to 59
6148,40 to 59
3036,40 to 59
107,40 to 59
517,40 to 59
9193,20 to 39
1424,60+
,60+
,
876,20 to 39
9421,20 to 39
3254,40 to 59
15308,40 to 59
4726,20 to 39
20242,20 to 39
,60+
4105,40 to 59
11040,40 to 59
12832,20 to 39
27077,20 to 39
3065,40 to 59
3365,20 to 39
5936,20 to 39
1113,40 to 59
1661,60+
29994,20 to 39
13231,20 to 39
4911,20 to 39
810,40 to 59
14189,20 to 39
1662,40 to 59
11920,20 to 39
5499,20 to 39
32,40 to 59
7238,20 to 39
3340,5 to 19
,
12104,20 to 39
