suburb,postcode,lat,lon,total_patient,population,age
CAMDEN,2570,-34.054599,150.695678,16,3221,60+
CAMDEN SOUTH,2570,-34.08748,150.695074,16,4524,20 to 39
CAMELLIA,2142,-33.816872,151.022191,7,2637,20 to 39
CAMMERAY,2062,-33.821953,151.21043,8,7017,20 to 39
CAMPBELLTOWN,2560,-34.067441,150.812522,19,12561,20 to 39
CAMPERDOWN,2050,-33.88866,151.177188,5,10352,20 to 39
CAMPSIE,2194,-33.914373,151.103465,4,24539,20 to 39
CANADA BAY,2046,-33.863194,151.116398,14,1255,40 to 59
CANLEY HEIGHTS,2166,-33.883633,150.923895,4,10971,40 to 59
CANLEY VALE,2166,-33.887291,150.943275,4,10214,20 to 39
CANOELANDS,2157,-33.508714,151.061148,0,179,40 to 59
CANTERBURY,2193,-33.910848,151.121145,10,7240,20 to 39
CARINGBAH,2229,-34.04316,151.123102,15,11672,20 to 39
CARLINGFORD,2118,-33.782959,151.047707,9,24401,40 to 59
CARLTON,2218,-33.968523,151.124528,12,10731,20 to 39
CARRAMAR,2163,-33.884558,150.961884,7,3547,20 to 39
CARSS PARK,2221,-33.986556,151.119041,2,1259,40 to 59
CARTWRIGHT,2168,-33.926577,150.890356,13,2386,40 to 59
CASTLE COVE,2069,-33.784165,151.199948,6,2552,40 to 59
CASTLE HILL,2154,-33.732307,151.005616,4,39610,40 to 59
CASTLECRAG,2068,-33.802403,151.212643,15,2944,40 to 59
CASTLEREAGH,2749,-33.668796,150.67655,10,1164,40 to 59
CASULA,2170,-33.94735,150.907753,22,15667,20 to 39
CATHERINE FIELD,2557,-33.993545,150.774858,5,1669,40 to 59
CATTAI,2756,-33.555841,150.909515,12,801,40 to 59
CAWDOR,2570,-34.108691,150.671985,16,432,40 to 59
CECIL HILLS,2171,-33.883696,150.853171,12,7021,40 to 59
CECIL PARK,2178,-33.87478,150.838225,2,769,40 to 59
CHATSWOOD,2067,-33.795617,151.185329,2,24900,20 to 39
CHATSWOOD WEST,2067,-33.796332,151.167142,2,1492,40 to 59
CHELTENHAM,2119,-33.76169,151.079364,9,2249,40 to 59
CHERRYBROOK,2126,-33.722019,151.041806,6,18764,40 to 59
CHESTER HILL,2162,-33.883157,151.001185,5,12823,20 to 39
CHIFLEY,2036,-33.976546,151.240248,12,3225,40 to 59
CHIPPENDALE,2008,-33.886844,151.201715,4,8615,20 to 39
CHIPPING NORTON,2170,-33.916829,150.961662,22,8988,20 to 39
CHISWICK,2046,-33.851437,151.135954,14,2927,20 to 39
CHULLORA,2190,-33.892441,151.055898,3,23212,5 to 19
CHURCH POINT,2105,-33.644873,151.284352,0,983,60+
CLAREMONT MEADOWS,2747,-33.770438,150.752791,50,4782,20 to 39
CLARENDON,2756,-33.614736,150.78198,12,110,40 to 59
CLAREVILLE,2107,-33.634905,151.313321,6,753,60+
CLAYMORE,2559,-34.045524,150.810024,0,2651,5 to 19
CLEMTON PARK,2206,-33.925357,151.103282,6,1655,60+
CLONTARF,2093,-33.808238,151.255095,12,1742,40 to 59
CLOVELLY,2031,-33.912639,151.262021,28,4752,20 to 39
CLYDE,2142,-33.832322,151.019414,7,3,20 to 39
COASTERS RETREAT,2108,-33.6048,151.29883,1,43,60+
COBBITTY,2570,-34.015874,150.691029,16,2062,40 to 59
COLEBEE,2761,-33.730647,150.866046,15,1928,20 to 39
COLLAROY,2097,-33.740969,151.303133,13,7860,20 to 39
COLYTON,2760,-33.776657,150.793433,11,8445,20 to 39
COMO,2226,-34.004186,151.068288,2,3984,40 to 59
CONCORD,2137,-33.857857,151.103502,10,14531,40 to 59
CONCORD WEST,2138,-33.848041,151.087326,4,5910,40 to 59
CONDELL PARK,2200,-33.922034,151.011619,13,11564,20 to 39
CONNELLS POINT,2221,-33.991871,151.089495,2,2816,40 to 59
COOGEE,2034,-33.920491,151.254401,9,15219,20 to 39
CORNWALLIS,2756,-33.592375,150.812216,12,51,40 to 59
COTTAGE POINT,2084,-33.619578,151.203831,3,105,60+
COWAN,2081,-33.589491,151.171015,2,647,40 to 59
CRANEBROOK,2749,-33.71431,150.709986,10,15758,20 to 39
CREMORNE,2090,-33.828131,151.230233,17,11229,20 to 39
CREMORNE POINT,2090,-33.84447,151.228231,17,2409,40 to 59
CROMER,2099,-33.740353,151.278523,20,7584,40 to 59
CRONULLA,2230,-34.051972,151.153662,25,18083,20 to 39
CROWS NEST,2065,-33.82609,151.199192,22,4802,20 to 39
CROYDON,2132,-33.883163,151.114771,3,10608,40 to 59
CROYDON PARK,2133,-33.895299,151.108581,0,11017,40 to 59
CUMBERLAND REACH,2756,-33.455858,150.896276,12,182,40 to 59
CURL CURL,2096,-33.768937,151.294035,14,2419,40 to 59
CURRANS HILL,2567,-34.045179,150.764007,19,5291,20 to 39
CURRAWONG BEACH,2108,-33.597338,151.298367,1,40,60+
DACEYVILLE,2032,-33.928043,151.22513,7,1204,60+
DANGAR ISLAND,2083,-33.539357,151.241762,0,310,40 to 59
DARLING POINT,2027,-33.873808,151.236683,7,4192,60+
DARLINGHURST,2010,-33.879825,151.21956,30,11322,20 to 39
DARLINGTON,2008,-33.891348,151.191243,4,3092,20 to 39
DARLINGTON,2330,-32.558283,151.159556,3,374,20 to 39
DAVIDSON,2085,-33.738731,151.194197,4,2841,40 to 59
DAWES POINT,2000,-33.855601,151.20822,18,359,40 to 59
DEAN PARK,2761,-33.73616,150.860027,15,3226,20 to 39
DEE WHY,2099,-33.753451,151.28554,20,21518,20 to 39
DENHAM COURT,2565,-33.990081,150.844653,3,1982,20 to 39
DENISTONE,2114,-33.799441,151.07959,12,3750,40 to 59
DENISTONE EAST,2112,-33.797177,151.097546,11,2246,40 to 59
DENISTONE WEST,2114,-33.802382,151.066085,12,935,40 to 59
DHARRUK,2770,-33.743232,150.816642,12,2765,20 to 39
DOLANS BAY,2229,-34.05968,151.126746,15,602,40 to 59
DOLLS POINT,2219,-33.993495,151.146801,7,1658,40 to 59
DOONSIDE,2767,-33.765071,150.86929,11,13461,20 to 39
DOUBLE BAY,2028,-33.87906,151.243095,3,4636,20 to 39
DOVER HEIGHTS,2030,-33.874405,151.280416,19,3799,40 to 59
DRUMMOYNE,2047,-33.851056,151.154542,3,11941,20 to 39
DUFFYS FOREST,2084,-33.676775,151.199879,3,474,40 to 59
DULWICH HILL,2203,-33.904689,151.138774,4,13712,20 to 39
DUNDAS,2117,-33.799405,151.044189,6,4729,20 to 39
DUNDAS VALLEY,2117,-33.78724,151.061185,6,5402,20 to 39
DURAL,2158,-33.681875,151.028435,3,7560,40 to 59
EAGLE VALE,2558,-34.037882,150.814153,5,5794,20 to 39
EARLWOOD,2206,-33.92651,151.12648,6,17744,40 to 59
EAST HILLS,2213,-33.963359,150.986695,6,3205,40 to 59
EAST KILLARA,2071,-33.753498,151.170003,4,2979,40 to 59
EAST KURRAJONG,2758,-33.514481,150.764601,4,2202,40 to 59
EAST LINDFIELD,2070,-33.766415,151.186095,10,3731,40 to 59
EAST RYDE,2113,-33.813769,151.140289,22,2440,40 to 59
EASTERN CREEK,2766,-33.803114,150.852192,7,824,20 to 39
EASTGARDENS,2036,-33.946043,151.223301,12,858,60+
EASTLAKES,2018,-33.925133,151.213199,11,6922,20 to 39
EASTWOOD,2122,-33.789986,151.080914,25,17852,20 to 39
EBENEZER,2756,-33.52466,150.881372,12,984,40 to 59
EDENSOR PARK,2176,-33.877057,150.875292,18,9764,40 to 59
EDGECLIFF,2027,-33.878586,151.235106,7,2576,20 to 39
ELANORA HEIGHTS,2101,-33.695015,151.280156,9,4353,40 to 59
ELDERSLIE,2335,-32.591783,151.332509,1,112,40 to 59
ELDERSLIE,2570,-34.059038,150.711427,16,6020,20 to 39
ELIZABETH BAY,2011,-33.872829,151.226593,30,5218,20 to 39
ELLIS LANE,2570,-34.040061,150.672006,16,837,40 to 59
ELVINA BAY,2105,-33.642011,151.276109,0,79,40 to 59
EMERTON,2770,-33.742855,150.808263,12,2251,20 to 39
EMU HEIGHTS,2750,-33.735636,150.650321,27,3282,40 to 59
EMU PLAINS,2750,-33.754097,150.653269,27,8411,60+
ENFIELD,2136,-33.886854,151.092425,0,2825,20 to 39
ENGADINE,2233,-34.065716,151.012663,13,17373,40 to 59
ENGLORIE PARK,2560,-34.082052,150.795131,19,417,20 to 39
ENMORE,2042,-33.899362,151.171098,9,3886,20 to 39
ENMORE,2350,-30.721541,151.731619,4,51,60+
ENMORE,2042,-30.721541,151.731619,1,3880,20 to 39
EPPING,2121,-33.772549,151.082365,4,23692,20 to 39
ERMINGTON,2115,-33.814144,151.054495,4,10735,20 to 39
ERSKINE PARK,2759,-33.807618,150.789313,10,6443,40 to 59
ERSKINEVILLE,2043,-33.902234,151.186192,6,8001,20 to 39
ESCHOL PARK,2558,-34.031357,150.80968,5,2565,20 to 39
EVELEIGH,2015,-33.897075,151.19113,11,667,20 to 39
FAIRFIELD,2165,-33.868529,150.955512,4,18078,20 to 39
FAIRFIELD EAST,2165,-33.869449,150.977528,4,5273,20 to 39
FAIRFIELD HEIGHTS,2165,-33.864603,150.938451,4,7524,20 to 39
FAIRFIELD WEST,2165,-33.868955,150.922057,4,11561,20 to 39
FAIRLIGHT,2094,-33.794163,151.273978,6,5839,20 to 39
FIDDLETOWN,2159,-33.602321,151.055702,3,241,40 to 59
FIVE DOCK,2046,-33.866368,151.130136,14,9362,40 to 59
FOREST GLEN,2157,-33.549519,151.012846,0,69,60+
FOREST LODGE,2037,-33.881215,151.181127,4,4584,20 to 39
FORESTVILLE,2087,-33.762011,151.21406,6,8323,40 to 59
FREEMANS REACH,2756,-33.545429,150.794878,12,1969,40 to 59
FRENCHS FOREST,2086,-33.750964,151.226036,6,13481,40 to 59
GALSTON,2159,-33.652661,151.043059,3,3143,40 to 59
GEORGES HALL,2198,-33.912851,150.982469,2,9041,20 to 39
