336,Huntleys Cove
337,Huntleys Point
338,Hurlstone Park
339,Hurstville
340,Hurstville Grove
341,
342,
343,== I ==
344,Illawong
345,Ingleburn
346,Ingleside
347,
348,
349,== J ==
350,Jamisontown
351,Jannali  Jordan Springs
352,
353,
354,== K ==
355,Kangaroo Point
356,Kareela
357,Kearns
358,Kellyville
359,Kellyville Ridge
360,Kemps Creek
361,Kensington
362,Kenthurst
363,Kentlyn
364,Killara
365,Killarney Heights
366,Kings Langley
367,Kings Park
368,Kingsford
369,Kingsgrove
370,Kingswood
371,Kingswood Park
372,Kirkham
373,Kirrawee
374,Kirribilli
375,Kogarah
376,Kogarah Bay
377,Kuringgai Chase
378,Kurmond
379,Kurnell
380,Kurraba Point
381,Kurrajong
382,Kurrajong Hills
383,Kyeemagh
384,Kyle Bay
385,
386,
387,== L ==
388,La Perouse
389,Lakemba
390,Lalor Park
391,Lane Cove
392,Lane Cove North
393,Lane Cove West
394,Lansdowne
395,Lansvale
396,Laughtondale
397,Lavender Bay
398,Leets Vale
399,Leichhardt
400,Len Waters Estate
401,Leonay
402,Leppington
403,Lethbridge Park
404,Leumeah
405,Lewisham
406,Liberty Grove
407,Lidcombe
408,Lilli Pilli
409,Lilyfield
410,Lindfield
411,Linley Point
412,Little Bay
413,Liverpool
414,Llandilo
415,Loftus
416,Londonderry
417,Long Point
418,Longueville
419,Lovett Bay
420,Lower Portland
421,Lucas Heights
422,Luddenham
423,Lugarno
424,Lurnea
425,
426,
427,== M ==
428,Macquarie Fields
429,Macquarie Links
430,Macquarie Park
431,Maianbar
432,Malabar
433,Manly
434,Manly Vale
435,Maraylya
436,Marayong
437,Maroota
438,Maroubra
439,Marrickville
440,Marsden Park
441,Marsfield
442,Mascot
443,Matraville
444,Mays Hill
445,McCarrs Creek
446,McGraths Hill
447,McMahons Point
448,Meadowbank
449,Melrose Park
450,Menai
451,Menangle Park
452,Merrylands
453,Merrylands West
454,Middle Cove
455,Middle Dural
456,Middleton Grange
457,Miller
458,Millers Point
